Historic Time,Region,value
1900,CAZ,0.0
1900,CHA,0.0
1900,EUR,0.0
1900,IND,0.0
1900,JPN,0.0
1900,LAM,0.0
1900,MEA,0.0
1900,NEU,0.0
1900,OAS,0.0
1900,REF,0.0
1900,SSA,0.0
1900,USA,0.0
1901,CAZ,420.3203258668483
1901,CHA,650.370515500459
1901,EUR,7111.903029567991
1901,IND,418.90623900134534
1901,JPN,2319.7589996419856
1901,LAM,854.9621406211489
1901,MEA,18.687689153332556
1901,NEU,238.0800528143612
1901,OAS,219.30619600132746
1901,REF,4241.300372197284
1901,SSA,238.57265573883757
1901,USA,4913.917464124877
1902,CAZ,970.207224837866
1902,CHA,1492.7835564881523
1902,EUR,16401.571047940684
1902,IND,940.423342066013
1902,JPN,5425.509562205162
1902,LAM,1959.3248833486805
1902,MEA,43.29949475014566
1902,NEU,550.6957473077529
1902,OAS,504.1965081679944
1902,REF,9554.912782080472
1902,SSA,551.5350695908528
1902,USA,11363.95402779638
1903,CAZ,1577.1976310384468
1903,CHA,2413.9414292731003
1903,EUR,26640.893496703888
1903,IND,1488.6423190514893
1903,JPN,8927.191879270044
1903,LAM,3163.7247655508895
1903,MEA,70.6364154807001
1903,NEU,896.9615961695947
1903,OAS,816.581796580502
1903,REF,15176.929441439272
1903,SSA,897.8754061407876
1903,USA,18505.925517005704
1904,CAZ,2187.5080503652534
1904,CHA,3331.5043440867707
1904,EUR,36921.358886255286
1904,IND,2012.7279043054475
1904,JPN,12520.574096759547
1904,LAM,4360.238478670792
1904,MEA,98.29014358543596
1904,NEU,1246.293701295901
1904,OAS,1128.6106286587742
1904,REF,20589.172466648564
1904,SSA,1246.9778022882308
1904,USA,25708.825166246934
1905,CAZ,3494.9568497035107
1905,CHA,5297.996837044448
1905,EUR,58946.298828426276
1905,IND,3138.0569007400013
1905,JPN,20211.619841424814
1905,LAM,6924.877505743182
1905,MEA,157.51584308810436
1905,NEU,1994.544665353274
1905,OAS,1797.2578339901438
1905,REF,32206.672174375763
1905,SSA,1994.7658233299649
1905,USA,41137.27760248525
1906,CAZ,4936.701114793396
1906,CHA,7450.8119934082
1906,EUR,83206.57431984865
1906,IND,4329.738563983523
1906,JPN,28824.307180701606
1906,LAM,9726.679586842894
1906,MEA,223.12851998199568
1906,NEU,2821.7801074446847
1906,OAS,2530.8380698099295
1906,REF,44580.99304066286
1906,SSA,2820.9380070023867
1906,USA,58190.15061865509
1907,CAZ,6148.302780661944
1907,CHA,9241.163145180662
1907,EUR,103561.84360198205
1907,IND,5272.065956816558
1907,JPN,36220.27100998624
1907,LAM,12049.693179782415
1907,MEA,278.63214658613276
1907,NEU,3519.5205136721215
1907,OAS,3142.817992263053
1907,REF,54455.85334308238
1907,SSA,3517.1210569863983
1907,USA,72568.55812129602
1908,CAZ,5655.073994469069
1908,CHA,8466.679485018256
1908,EUR,95196.86139282257
1908,IND,4744.983062983672
1908,JPN,33593.086319498514
1908,LAM,11027.484924310671
1908,MEA,256.92186600803444
1908,NEU,3241.6777239695925
1908,OAS,2882.7680714175603
1908,REF,49164.034005953916
1908,SSA,3238.301516181117
1908,USA,66830.89453689488
1909,CAZ,8573.940044781462
1909,CHA,12789.382366666547
1909,EUR,144251.16163317318
1909,IND,7045.226618768604
1909,JPN,51330.237236931316
1909,LAM,16639.899540903425
1909,MEA,390.44999732450293
1909,NEU,4921.302186840936
1909,OAS,4359.377005121548
1909,REF,73220.2372847504
1909,SSA,4914.511918180988
1909,USA,101445.63001551831
1910,CAZ,10901.64118668344
1910,CHA,16204.627809948448
1910,EUR,183315.3406182856
1910,IND,8779.124221659347
1910,JPN,65743.68893496726
1910,LAM,21062.02062708627
1910,MEA,497.55382770386205
1910,NEU,6265.089471826787
1910,OAS,5529.277591603987
1910,REF,91513.59748984218
1910,SSA,6254.448622790959
1910,USA,129130.72572960658
1911,CAZ,12365.829213368657
1911,CHA,18320.014793166076
1911,EUR,207831.15219690307
1911,IND,9766.41056967272
1911,JPN,75086.5777345567
1911,LAM,23788.505803166117
1911,MEA,565.5624991774998
1911,NEU,7114.835568697777
1911,OAS,6257.308467532193
1911,REF,102104.13723099216
1911,SSA,7100.611942564286
1911,USA,146628.72312276324
1912,CAZ,16671.358800628634
1912,CHA,24620.709668939733
1912,EUR,280059.5117512397
1912,IND,12921.869198344906
1912,JPN,101885.30552492113
1912,LAM,31940.477511767625
1912,MEA,763.9904388398895
1912,NEU,9602.662411189478
1912,OAS,8417.327564825418
1912,REF,135482.74073703928
1912,SSA,9580.735778433225
1912,USA,197879.29251791624
1913,CAZ,19452.58596384769
1913,CHA,28641.799330930324
1913,EUR,326632.3376274726
1913,IND,14806.363647116512
1913,JPN,119607.68937470367
1913,LAM,37124.31708719462
1913,MEA,893.1166334796252
1913,NEU,11216.361252258024
1913,OAS,9800.919086127375
1913,REF,155680.53508351103
1913,SSA,11187.731772221556
1913,USA,231109.3949399706
1914,CAZ,16986.432483985955
1914,CHA,24939.067099348606
1914,EUR,285099.40607631695
1914,IND,12704.256828119152
1914,JPN,105045.69846525449
1914,LAM,32297.75942472199
1914,MEA,781.2765897986641
1914,NEU,9804.098466017156
1914,OAS,8541.256761197086
1914,REF,133949.18453483906
1914,SSA,9776.572647658757
1914,USA,201991.19298446522
1915,CAZ,20569.6870845269
1915,CHA,30117.44993026783
1915,EUR,345098.60330363887
1915,IND,15125.034707047183
1915,JPN,127897.84010795166
1915,LAM,38972.6569784559
1915,MEA,947.6832293000489
1915,NEU,11883.45152413553
1915,OAS,10323.29270920377
