,Plant ID,Plant name (English),Country/Area,Capacity operating status,Start date,Nominal crude steel capacity (ttpa),Nominal BOF steel capacity (ttpa),Nominal EAF steel capacity (ttpa),Nominal OHF steel capacity (ttpa),Other/unspecified steel capacity (ttpa),Nominal iron capacity (ttpa),Nominal BF capacity (ttpa),Nominal DRI capacity (ttpa),Other/unspecified iron capacity (ttpa),Announced date,Construction date,Pre-retirement Announcement Date,Retired Date,BOF,EAF,OHF,Other steel,BF,DRI,Other iron,Steel row identifier,BF Unit Name,Unit Status,# of BF Units,Total BF Capacity (ttpa),BF Capacity (ttpa),BF Start Date,BF Retirement Date,BF Retirement Date (1 relining),BF Retirement Date (2 relinings),Custom calculated retirement,BF production fraction,Adjusted BF capacity,Adjusted EAF capacity,Adjusted BOF capacity,Adjusted OHF capacity,Adjusted other steel capacity,Adjusted crude steel capacity,Effective Retirement Date,Effective Start Date,Effective Retirement Date (1 relining),Effective Retirement Date (2 relinings)
77,P100000120084,SGIS Songshan Co Ltd,China,operating,1997.0,8698.0,7998.0,700.0,,,6500.0,6500.0,,,,,,,True,True,False,False,True,False,False,0,BF 6,operating,3.0,6500.0,1880.0,,,,,True,0.28923076923076924,1880.0,202.46153846153845,2313.2676923076924,0.0,0.0,2515.729230769231,,1997.0,,
78,P100000120084,SGIS Songshan Co Ltd,China,operating,1997.0,8698.0,7998.0,700.0,,,6500.0,6500.0,,,,,,,True,True,False,False,True,False,False,0,BF 7,operating,3.0,6500.0,1870.0,2005.0,2037.0,,2047.0,True,0.2876923076923077,1870.0,201.3846153846154,2300.963076923077,0.0,0.0,2502.3476923076923,2037.0,1997.0,,2047.0
79,P100000120084,SGIS Songshan Co Ltd,China,operating,1997.0,8698.0,7998.0,700.0,,,6500.0,6500.0,,,,,,,True,True,False,False,True,False,False,0,BF 8,operating,3.0,6500.0,2750.0,2009.0,2036.0,,2046.0,True,0.4230769230769231,2750.0,296.15384615384613,3383.769230769231,0.0,0.0,3679.923076923077,2036.0,1997.0,,2046.0
80,P100000120085,Baosteel Zhanjiang Iron and Steel Co Ltd,China,operating,2011.0,12528.0,12528.0,,,,13250.0,12250.0,1000.0,,,,,,True,False,False,False,True,True,False,0,BF 1,operating,3.0,12250.0,4115.0,2015.0,2038.0,,2048.0,True,0.33591836734693875,4115.0,0.0,4208.385306122449,0.0,0.0,4208.385306122449,2038.0,2011.0,,2048.0
81,P100000120085,Baosteel Zhanjiang Iron and Steel Co Ltd,China,operating,2011.0,12528.0,12528.0,,,,13250.0,12250.0,1000.0,,,,,,True,False,False,False,True,True,False,0,BF 2,operating,3.0,12250.0,4115.0,2016.0,2036.0,2051.0,2061.0,True,0.33591836734693875,4115.0,0.0,4208.385306122449,0.0,0.0,4208.385306122449,2036.0,2011.0,2051.0,2061.0
82,P100000120085,Baosteel Zhanjiang Iron and Steel Co Ltd,China,operating,2011.0,12528.0,12528.0,,,,13250.0,12250.0,1000.0,,,,,,True,False,False,False,True,True,False,0,BF 3,operating,3.0,12250.0,4020.0,2022.0,2042.0,2057.0,2067.0,True,0.32816326530612244,4020.0,0.0,4111.229387755102,0.0,0.0,4111.229387755102,2042.0,2011.0,2057.0,2067.0
83,P100000120086,Zhuhai Yueyufeng Iron and Steel Co Ltd,China,operating,2002.0,3051.0,3051.0,,,,2200.0,2200.0,,,,,,,True,False,False,False,True,False,False,0,BF 1,operating,4.0,2200.0,550.0,2004.0,2036.0,,2046.0,True,0.25,550.0,0.0,762.75,0.0,0.0,762.75,2036.0,2002.0,,2046.0
84,P100000120086,Zhuhai Yueyufeng Iron and Steel Co Ltd,China,operating,2002.0,3051.0,3051.0,,,,2200.0,2200.0,,,,,,,True,False,False,False,True,False,False,0,BF 2,operating,4.0,2200.0,550.0,,,,,True,0.25,550.0,0.0,762.75,0.0,0.0,762.75,,2002.0,,
85,P100000120086,Zhuhai Yueyufeng Iron and Steel Co Ltd,China,operating,2002.0,3051.0,3051.0,,,,2200.0,2200.0,,,,,,,True,False,False,False,True,False,False,0,BF 3,operating,4.0,2200.0,550.0,,,,,True,0.25,550.0,0.0,762.75,0.0,0.0,762.75,,2002.0,,
86,P100000120086,Zhuhai Yueyufeng Iron and Steel Co Ltd,China,operating,2002.0,3051.0,3051.0,,,,2200.0,2200.0,,,,,,,True,False,False,False,True,False,False,0,BF 4,operating,4.0,2200.0,550.0,2008.0,2028.0,2043.0,2053.0,True,0.25,550.0,0.0,762.75,0.0,0.0,762.75,2028.0,2002.0,2043.0,2053.0
